prenom,nom,nom_arab,prenom_arab,email,type,date_naissance,tele_num,rue,cin,cne,date_inscription,profile_image,remember_token,ville_id,nivaeu_scholaire_id,lieu_naissance_id,groupe_id,specialite_id
Reda,Grain,Reda,Grain,reda@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,1,NULL
zaani,Hamza,zaani,Hamza,hamza@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,2,NULL
Betroji,jalil,Betroji,jalil,jalil@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,1,NULL
Assaid,Amina,Assaid,Amina,amina@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,2,NULL
Faiz,Safaa,Faiz,Safaa,Safaa@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,1,NULL
Achaou,Hamid,Achaou,Hamid,Hamid@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,1,NULL
Boukhar,Soufian,Boukhar,Soufian,Soufian@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,3,NULL
daifane,Yasmine,daifane,Yasmine,Yasmine@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,1,NULL
lamchatab,Amine,lamchatab,Amine,Amine@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,2,NULL
bouik,Hussein,bouik,Hussein,Hussein@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,1,NULL
harrak,Adnan,harrak,Adnan,Adnan@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,1,NULL
sarsri,Imrane,sarsri,Imrane,Imrane@solicode.co,apprenant,2003/10/17,010414141814,tanger,kl487787,P145555575,2023/10/14,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,1,1,1,NULL
Abdellatif,Souklabi,Abdellatif,Souklabi,Abdellatif@solicode.co,formateur,1988/10/17,010414141814,tanger,kl487787,NULL,NULL,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,NULL,NULL,4,1
Fouad,Esseraje,Fouad,Fouad,Fouad@solicode.co,formateur,1988/10/17,010414141814,tanger,kl487787,NULL,NULL,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,NULL,NULL,2,1
Fatine,Chebbab,Fatine,Chebbab,Fatine@solicode.co,formateur,1988/10/17,010414141814,tanger,kl487787,NULL,NULL,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,NULL,NULL,3,1
Hammouda,Abdelmounaim,Hammouda,Abdelmounaim,hammouda@solicode.co,responsable,1988/10/17,010414141814,tanger,kl487787,NULL,NULL,default_profile_image.png,40hfg44q444gUGU4y56guyg5uG45HQGQE4IAY5584,1,NULL,NULL,2,NULL
